method_folder,method_display,psnr,ssim,ms_ssim,lpips,has_weight_file,inference_scripts,weight_original_path
01_MUNET2_LPIPS_lam0p036_try5,MUNET2 (LPIPS lambda=0.036 try5),30.5286,0.9086,0.9686,0.0662,True,munet2_lpips.py; run_MB_mice1.py; run_MB_mice2.py; old_mb_fast_core.py,F:\reproduction2.0\MUNET3.18\checkpoints_round2_best_allmetrics_20260326_lpips036\unet_best_model.pth
02_MUNET1_consistentB_lpips_metric,"MUNET1 (consistentB, LPIPS metric protocol)",30.1475,0.8998,0.9631,0.0673,True,munet1.py; run_MB_mice1.py; old_mb_fast_core.py,F:\reproduction2.0\MUNET3.18\checkpoints_round1_consistentB_res1_refhf\unet_best_model.pth
03_DAS_UNET_UNet,DAS+UNET (UNet),30.1217,0.8989,0.9675,0.0821,True,run_DAS_mice_split.py; old_mb_fast_core.py,F:\reproduction2.0\MUNET3.18\checkpoints_das_unet_current_logits_split\unet_best_model.pth
04_Modelbased_CNN_MB1_plus_SimpleCNN,Modelbased+cnn (MB1 + SimpleCNN),26.2541,0.8573,0.9237,0.1012,True,train_mb1_simplecnn.py; run_MB_mice1.py; old_mb_fast_core.py,F:\reproduction2.0\MUNET3.18\checkpoints_mb1_simplecnn_20260403\simplecnn_best_model.pth
05_Modelbased2_MB2_input_consistentB_i2l0,Modelbased2 (MB2 input consistentB i2l0),24.3413,0.794,0.8672,0.129,False,run_MB_mice2.py; old_mb_fast_core.py,
06_Modelbased1_MB1_input_clean,Modelbased1 (MB1 input clean),22.5135,0.5092,0.8568,0.4205,False,run_MB_mice1.py; old_mb_fast_core.py,
07_Modelbased_L2_MB1_anchor,Modelbased+L2 (MB1 anchor),22.513,0.509,0.8555,0.4208,False,run_mb1_anchor_l2_tv.py; run_mb_compare_grad_wavelet_tv.py; old_mb_fast_core.py,
08_Modelbased_TV_MB1_anchor,Modelbased+TV (MB1 anchor),21.4677,0.5656,0.7809,0.4482,False,run_mb1_anchor_l2_tv.py; run_mb_compare_grad_wavelet_tv.py; old_mb_fast_core.py,
09_DASUNET_AttentionUNet_fair9,DASUNET AttentionUNet (fair9),29.4096,0.8766,0.9615,0.089,True,run_arch_fair_compare_9models.py,F:\reproduction2.0\MUNET3.18\arch_fair_unet_attention_transunet_20260407\checkpoints\dasunet_attentionunet_best.pth
10_DASUNET_TransUNet_fair9,DASUNET TransUNet (fair9),29.2698,0.8684,0.9635,0.1017,True,run_arch_fair_compare_9models.py,F:\reproduction2.0\MUNET3.18\arch_fair_unet_attention_transunet_20260407\checkpoints\dasunet_transunet_best.pth
11_MUNET2_LPIPS_tryA_AttentionUNet,MUNET2 (LPIPS tryA) AttentionUNet,30.4037,0.9047,0.9673,0.0645,True,munet2_lpips_archswap.py,F:\reproduction2.0\MUNET3.18\checkpoints_munet2_attention_lpips036_tryA_20260407\attentionunet_best_model.pth
12_MUNET2_LPIPS_tryA_TransUNet,MUNET2 (LPIPS tryA) TransUNet,30.5119,0.9082,0.9684,0.0654,True,munet2_lpips_archswap.py,F:\reproduction2.0\MUNET3.18\checkpoints_munet2_trans_lpips036_tryA_20260407\transunet_best_model.pth
